date,Rihanna,Kendrick Lamar,Taylor Swift,Travis Scott,BTS,Blackpink,Doja Cat,Olivia Rodrigo,Zendaya,Jenna Ortega,Wednesday,Stranger Things
2024-01-09,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-12,False,False,False,False,False,False,False,False,False,False,False,False
2024-03-11,False,False,False,False,False,False,False,False,False,False,False,False
2024-06-10,False,False,False,False,False,False,False,False,False,False,False,False
2024-08-09,False,False,False,False,False,False,False,False,False,False,False,False
2024-08-12,False,False,False,False,False,False,False,False,False,False,False,False
2024-10-11,False,False,False,False,False,False,False,False,False,False,False,False
2025-01-06,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-02,False,False,False,False,False,False,False,False,False,False,False,False
2025-02-03,False,False,False,False,False,False,False,False,False,False,False,False
2025-03-08,False,False,False,False,False,False,False,False,False,False,False,False
2025-04-05,False,False,False,False,False,False,False,False,False,False,False,False
2025-05-01,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-07,False,False,False,False,False,False,False,False,False,False,False,False
2025-07-09,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-06,False,False,False,True,False,False,False,False,False,False,False,False
2025-09-02,False,False,False,False,False,False,False,False,False,False,False,False
2025-09-03,False,False,False,False,False,False,False,True,False,False,False,False
2025-10-08,False,False,False,False,False,False,False,False,False,True,False,False
2025-11-05,True,False,False,False,True,True,False,False,False,True,True,True
2025-12-01,True,False,False,False,True,True,False,False,True,True,True,False
